사업장명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업장면적,전화번호,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
투고 브라운슈가(To Go Brown Sugar),대구광역시,중구,"대구광역시 중구 명덕로65길 36, 1층 (대봉동)",,35.8566634628,128.6051851876,46.54,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
펌커피,대구광역시,중구,"대구광역시 중구 국채보상로151길 9, 1층 10,11호 (동인동4가, 금호아파트)",,35.8691180544,128.6120084272,52.6,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페 몽길,대구광역시,중구,"대구광역시 중구 이천로 170, 지상 1층 (대봉동)",,35.8561587778,128.5985660768,20.58,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
맥피씨카페 동성로점,대구광역시,중구,"대구광역시 중구 동성로3길 64, 지상 4층 (공평동)",,35.8681770089,128.5982922252,26.4,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
인터즈,대구광역시,중구,"대구광역시 중구 공평로 16, 1층 (삼덕동2가)",,35.865378858,128.6001678787,109.2,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
루브제2,대구광역시,중구,"대구광역시 중구 명륜로23길 100, 2층 (봉산동)",,35.864409658,128.594858816,92.44,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
로그랩(LOG LAB),대구광역시,중구,"대구광역시 중구 국채보상로 625, 1층 (공평동)",,35.8704484334,128.599178731,25,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
큐피드,대구광역시,중구,"대구광역시 중구 중앙대로 412-48, 2층 (사일동)",,35.8697897526,128.594993344,65,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
그레이핍플 봉산문화길점,대구광역시,중구,"대구광역시 중구 봉산문화길 69, 상가동 B201호 (봉산동, 봉산뜨란채아파트)",,35.8628666406,128.596755829,75.19,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
차당,대구광역시,중구,"대구광역시 중구 중앙대로58길 15, 1층 (남산동)",,35.857494515,128.5919795302,16,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
여름다방,대구광역시,중구,"대구광역시 중구 국채보상로 738, 2층 (동인동4가)",,35.8682728621,128.6111765775,83.24,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
펄버커피(FERVOR COFFEE),대구광역시,중구,"대구광역시 중구 달구벌대로447길 78, 1층 (삼덕동3가)",,35.8657578548,128.6084544892,59.1,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
나이스 구스(Nice goose),대구광역시,중구,"대구광역시 중구 동성로5길 94-19, 2층 (삼덕동1가)",,35.8661067367,128.5994954739,183,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
파머스포케 대구반월당역점,대구광역시,중구,"대구광역시 중구 달구벌대로 2094, 1층 104호 (남산동)",,35.8652832005,128.5925911064,49.27,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
십 바이 십 커피(SIP BY SIP COFFEE),대구광역시,중구,"대구광역시 중구 동덕로36길 7, 1층 (동인동1가)",,35.8705648612,128.6047727349,14,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페서문,대구광역시,중구,"대구광역시 중구 달구벌대로393길 48, B동 1층 (대신동)",,35.8660422709,128.5782721335,34.1,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
에이스테크놀러지,대구광역시,중구,"대구광역시 중구 공평로 36, 3층 334호 (삼덕동2가, 동성로 SK 리더스뷰)",,35.867809334,128.600255004,20,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
프릇 줍,대구광역시,중구,"대구광역시 중구 동성로2길 50-5, 1층 (공평동)",,35.8682556131,128.5971387466,19.8,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
샐러리아(SALARIA) 대구중구점,대구광역시,중구,"대구광역시 중구 달구벌대로 2035, 1층 상가16호 (동산동, 동산아파트)",,35.8670785955,128.5860498421,41.54,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
하삼동커피 대구교동점,대구광역시,중구,"대구광역시 중구 동성로 58, 1층 (동성로2가)",,35.8719266175,128.5958627943,28.36,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
쉼,대구광역시,중구,"대구광역시 중구 큰장로26길 5, 1층 (대신동)",,35.8685929527,128.5784512604,82.29,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
산타커피,대구광역시,중구,대구광역시 중구 종로 11 (계산동2가),,35.8669222012,128.5921696635,6.6,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
더벤티 동인칸타빌점,대구광역시,중구,"대구광역시 중구 공평로 100, 나동 (동인동1가)",,35.8728382539,128.6013706032,50.18,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
랍스타치즈구이,대구광역시,중구,"대구광역시 중구 큰장로26길 55, 서문시장야시장 제11호 (대신동)",,35.8697992183,128.5822391452,1.44,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페 소야(CAFE SOYA),대구광역시,중구,"대구광역시 중구 동성로2길 12-15, 2층 (봉산동)",,35.8662599153,128.5968696351,50.01,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페에이치(현대백화점 더현대대구),대구광역시,중구,"대구광역시 중구 달구벌대로 2077, 현대백화점 7층 (계산동2가)",,35.8666296004,128.5906257186,16.49,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
스타벅스 대구역,대구광역시,중구,"대구광역시 중구 태평로 160, 대구스테이션센터 1층 (북성로1가)",,35.8747071725,128.5952666455,247.12,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
온니케키(only cakie),대구광역시,중구,"대구광역시 중구 남성로 30-1, 3층 (남성로)",,35.8676675567,128.5900934634,35.58,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
헤아커피(HEA),대구광역시,중구,"대구광역시 중구 큰장로28길 42-7, 1층 (대신동)",,35.8694968051,128.581868883,19.8,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
팽피씨카페,대구광역시,중구,"대구광역시 중구 대봉로43길 22, 402동 B102호 (대봉동, 더샵 리비테르 2차)",,35.8582572204,128.6002327711,64.75,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
코이(koi),대구광역시,중구,"대구광역시 중구 남산로2길 31, 남산그린힐 1층 (남산동)",,35.8571020052,128.5846577385,67.06,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
하이 그릭,대구광역시,중구,"대구광역시 중구 달성로 118, 가동 1층 (수창동)",,35.8756609721,128.582328818,66.08,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
이디야커피 대구국채보상로점,대구광역시,중구,"대구광역시 중구 국채보상로 648, SHL동성빌딩 1,2층 (동인동2가)",,35.8693556192,128.6011874728,279.91,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
오루프(orf),대구광역시,중구,"대구광역시 중구 북성로 83, 1층 (북성로1가)",,35.8743371799,128.5915297184,30,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
무헤이,대구광역시,중구,"대구광역시 중구 봉산문화1길 29, 1층 (봉산동)",,35.8633124567,128.5987663203,19.83,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
푸테카(Puteka),대구광역시,중구,"대구광역시 중구 국채보상로151길 9, 1층 14호 (동인동4가, 금호아파트)",,35.8691180544,128.6120084272,26.22,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
커피파이브,대구광역시,중구,"대구광역시 중구 달구벌대로 2130-1, 1층 (봉산동)",,35.8646954546,128.5965499623,24,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
프로포르(propor),대구광역시,중구,"대구광역시 중구 봉산문화1길 11, 2층 (봉산동)",,35.862769496,128.5980027351,73,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
빽다방 대구서문시장점,대구광역시,중구,"대구광역시 중구 큰장로 126, 1층 (대신동)",,35.869388115,128.5793019268,11.5,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
몬스터커피 대구봉리단길점,대구광역시,중구,"대구광역시 중구 대봉로43길 21, 401동 112호 (대봉동, 더샵 리비테르 1차)",,35.8566822698,128.600781489,73.5,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
넌테이블(nontable) 대구시청점,대구광역시,중구,"대구광역시 중구 동덕로 181, 201동 103호 (동인동1가, 힐스테이트 동인 센트럴)",,35.8714746975,128.6030757583,85.58,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
러브앤레이어스,대구광역시,중구,"대구광역시 중구 달구벌대로447길 50, 지상 1층 (삼덕동3가)",,35.8646035055,128.6080900713,68.44,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
삼청당 더현대 대구점,대구광역시,중구,"대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)",,35.8666296004,128.5906257186,14.55,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
어묵다움,대구광역시,중구,"대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)",,35.8666296004,128.5906257186,19.83,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페 와엔드,대구광역시,중구,"대구광역시 중구 태평로 지하 155, 대구역지하상가 9호 (태평로1가)",,35.875069417,128.595071240,14.72,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
르폴뒤,대구광역시,중구,"대구광역시 중구 동성로1길 26, 1,2층 (덕산동)",,35.866428089,128.5948809048,80.5,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
라이프 앤 커피,대구광역시,중구,"대구광역시 중구 명륜로23길 105, 1층 (남산동)",,35.8647006947,128.5945205866,60,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
밀커피스탠드(Mill Coffee Stand),대구광역시,중구,"대구광역시 중구 동덕로30길 132, 1층 (삼덕동3가)",,35.8658271205,128.6109313273,40.96,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
놀스,대구광역시,중구,"대구광역시 중구 북성로 92, 1층 (북성로1가)",,35.874030155,128.5923731313,161.29,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
송커피,대구광역시,중구,"대구광역시 중구 큰장로26길 25, 서문시장 2지구 지하층 서175호 (대신동)",,35.8688146731,128.5795313461,6.81,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
프론다커피바,대구광역시,중구,"대구광역시 중구 공평로 87, 1층 (동문동)",,35.8719080234,128.6006729638,57.16,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
리프온립(Leaf on lip),대구광역시,중구,"대구광역시 중구 중앙대로77길 12, 2층 (종로2가)",,35.8683448414,128.5929848488,64.37,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
갤러리카페,대구광역시,중구,"대구광역시 중구 달구벌대로 지하 2160, 메트로프라자 지하1층 H146호 (봉산동)",,35.864321067,128.598645875,50,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페 레이어(Cafe Layer),대구광역시,중구,"대구광역시 중구 대봉로 194-11, 1층 (대봉동)",,35.8560518662,128.602971025,52.7,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페스마일(cafe smile),대구광역시,중구,"대구광역시 중구 국채보상로 지하 580, 대현프리몰 지하1층 C열 14호 (동성로2가)",,35.870830877,128.595762443,14.91,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
더리터(THE LITER),대구광역시,중구,"대구광역시 중구 달구벌대로 1950, 105동 1-2-1호 (남산동, 남산그린타운)",,35.8628796333,128.5767470055,43.87,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
찰리탱고 에디션(CTE),대구광역시,중구,"대구광역시 중구 달구벌대로443길 39, 1층 (삼덕동2가)",,35.8646216626,128.6053921838,147.13,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
멀티커피 중앙로점,대구광역시,중구,"대구광역시 중구 중앙대로 392, 동성빌딩 1층 (동성로3가)",,35.8680628887,128.5938531627,20,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
스토리100(STORY100),대구광역시,중구,"대구광역시 중구 동덕로26길 102-2, 1층 (삼덕동3가)",,35.8644088177,128.6087055396,74.97,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
소울트랩(SOULT LAB),대구광역시,중구,"대구광역시 중구 명륜로 2-1, 1층 (남산동)",,35.8659928573,128.5878124989,63.74,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
달롱도르 요거트 아이스크림 대구역점,대구광역시,중구,"대구광역시 중구 서성로 99, 판매시설동 144호 (수창동, 대구역센트럴자이)",,35.8753937716,128.5873488459,43.44,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
미록,대구광역시,중구,"대구광역시 중구 명륜로12길 40, 1층 (남산동)",,35.8629851054,128.5883305918,25.82,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
필인커피(FILLIN COFFEE),대구광역시,중구,"대구광역시 중구 명륜로12길 58, 1층 (남산동)",,35.8632965186,128.5874052226,47.12,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
영커피 대구반월당점,대구광역시,중구,"대구광역시 중구 중앙대로 372, 1층 (덕산동)",,35.8663273726,128.5936836689,49.59,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
멀티커피 교동점,대구광역시,중구,"대구광역시 중구 국채보상로123길 22, 1층 (문화동)",,35.8717545645,128.5976134295,40.35,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
봄채향,대구광역시,중구,"대구광역시 중구 달구벌대로 2085, 동아쇼핑 지하1층 (덕산동)",,35.866333507,128.5918415886,13.6,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
벨케이커리 하우스,대구광역시,중구,"대구광역시 중구 국채보상로140길 24, 가동 1층 (동인동2가)",,35.8678898541,128.6060917168,30,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
남산동,대구광역시,중구,"대구광역시 중구 문우관길 15-5, 1층 (남산동)",,35.8646041145,128.5898349738,36.36,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
꾸우밍,대구광역시,중구,"대구광역시 중구 명덕로 129-1, 1층 (남산동)",,35.8567463173,128.5842892353,58.2,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
찐덥다,대구광역시,중구,"대구광역시 중구 동성로3길 20, 지상 1층 (삼덕동1가)",,35.8662324861,128.5977802206,37,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
붕그레,대구광역시,중구,"대구광역시 중구 태평로 113, 가동 점포21,22호 (태평로2가, 건축자재상가아파트)",,35.8764074929,128.5908746876,42.64,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
잔상화,대구광역시,중구,"대구광역시 중구 경상감영길 205, 지상3층 (동문동)",,35.8719321738,128.5986364783,134,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
텐퍼센트커피 엔에스타워 동성로점,대구광역시,중구,"대구광역시 중구 공평로 17, 1층 104호 (삼덕동1가)",,35.8658492616,128.5994973698,48.6,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
리터킹 명덕점,대구광역시,중구,"대구광역시 중구 명덕로 175-1, 1층 (남산동)",,35.8572013831,128.5895085645,78,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
빽다방 대구으뜸병원점,대구광역시,중구,"대구광역시 중구 국채보상로 532-1, 1층 (수동)",,35.8700236729,128.5889983051,60,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
패트릭커피하우스,대구광역시,중구,"대구광역시 중구 종로 87, 1층 (대안동)",,35.8737296084,128.590715068,74.25,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
유아이유 경상감영점,대구광역시,중구,"대구광역시 중구 경상감영길 71, 1층 (포정동)",,35.8717409372,128.5913906491,61.29,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
트로피티아일랜드 대구동성로점,대구광역시,중구,"대구광역시 중구 경상감영길 222, 1층 102호 (동문동)",,35.8713671274,128.5990178355,44.94,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
리터킹 삼덕점,대구광역시,중구,"대구광역시 중구 동덕로30길 55, 1층 (동인동4가)",,35.8668370974,128.6068427804,31.78,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
잔걸음,대구광역시,중구,"대구광역시 중구 달구벌대로447길 44-12, 1층 (삼덕동3가)",,35.864112786,128.6084436035,55.27,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
우리가 바라는,대구광역시,중구,"대구광역시 중구 달구벌대로447길 34-31, 1층 (삼덕동3가)",,35.8636604413,128.6093295141,51.94,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
하삼동커피 경대병원점,대구광역시,중구,대구광역시 중구 달구벌대로 2211 (삼덕동3가),,35.8629501393,128.6051490139,49.42,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
화이트리에 청라언덕,대구광역시,중구,"대구광역시 중구 달구벌대로 1943, 상가동 1층 101-103호 (대신동, e편한세상 대신)",,35.8636199725,128.5768669538,56.53,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
요거트아이스크림의정석(달성공원역점),대구광역시,중구,"대구광역시 중구 달성로 123, 505동 1층 102호 (달성동, 달성파크푸르지오힐스테이트)",,35.8767971231,128.5803923927,72.28,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
사이즈업커피(SIZEUP COFFEE),대구광역시,중구,"대구광역시 중구 국채보상로123길 23, 1층 (동문동)",,35.8717119718,128.5972790955,11,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
하린커피(HARIN COFFEE),대구광역시,중구,"대구광역시 중구 달구벌대로443길 62, 1층 (삼덕동3가)",,35.8654753793,128.6059198798,11,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
얼라이브커피샵,대구광역시,중구,"대구광역시 중구 국채보상로150길 65-27, 1층 (삼덕동3가)",,35.8654122873,128.6116864812,30,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
브리튼 헨지,대구광역시,중구,"대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)",,35.8666296004,128.5906257186,12,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
더벤티 대구반월당점,대구광역시,중구,"대구광역시 중구 중앙대로 333, 1층 (남산동)",,35.862895168,128.5928697878,41.58,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
커피니 KT대구타워점,대구광역시,중구,"대구광역시 중구 동덕로 167, KT 대구지사 1층 (동인동2가)",,35.869682476,128.6035573474,23.48,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
아호베케이크(ahope cake),대구광역시,중구,"대구광역시 중구 서성로16길 91, 1층 (대안동)",,35.8735200921,128.5925850252,23.18,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
구스노츠,대구광역시,중구,"대구광역시 중구 동덕로 198-14, 3층 (동인동1가)",,35.8721117735,128.6054190803,95,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
카페 댕하우스,대구광역시,중구,"대구광역시 중구 중앙대로81길 95-2, 1층 (남성로)",,35.8691588973,128.5885788142,216,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
오크베리(OAKBERRY),대구광역시,중구,"대구광역시 중구 달구벌대로 2077, 현대백화점 지하1층 (계산동2가)",,35.8666296004,128.5906257186,12.03,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
빽다방 대구동성로공평점,대구광역시,중구,"대구광역시 중구 동성로6길 77, 1층 (공평동)",,35.8684042184,128.5996165878,49.9,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
로스터리 TOV_CAFE,대구광역시,중구,"대구광역시 중구 동성로3길 99, 지하1층 (공평동)",,35.869818441,128.5983057102,56,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
투플러스원 커피(2PLUS1 COFFEE),대구광역시,중구,"대구광역시 중구 달성로 58, 1층 (동산동)",,35.8703098128,128.5824644179,11.61,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
템푸스(Tempus),대구광역시,중구,"대구광역시 중구 국채보상로 562, 4층 402호 (종로1가)",,35.8704297158,128.5922313222,87.53,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
레드포스 피씨 아레나(REDFORCE PC ARENA),대구광역시,중구,"대구광역시 중구 동성로6길 61, 8층 801호 (공평동)",,35.8687083802,128.5987415413,40.61,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
투플러스원 커피(TWOPLUSONE COFFEE),대구광역시,중구,대구광역시 중구 달구벌대로415길 35 (장관동),,35.8678768366,128.5902065855,12.6,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
미르라운지,대구광역시,중구,"대구광역시 중구 공평로 12, 미르치과병원 1층 (삼덕동2가)",,35.8649896317,128.6001019312,20.2,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
멜티코 동성로점,대구광역시,중구,"대구광역시 중구 동성로 4-2, 1,2층 (동성로3가)",,35.8673272774,128.5942136273,94.15,,대구광역시 중구 보건소,053-661-2774,2025-12-24,3410000,대구광역시 중구
