관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
장영실과학동산,관광지,부산광역시 동래구 동래역사관길 18(복천동),부산광역시 동래구 복천동 1-2,35.20916308,129.0896688,1177.0,화장실(2동),,,,,,2009-10-15,10000,50,"동래출신 조선시대 세종당시 최고의 과학자인 장영실이 만든 세계최고의 옛 천문의기 18종 19점을 동래읍성북문광장 1,177㎡에 시비 5억을 투입하여 2009. 6. 16.부터 2009.10.15.까지 4개월에 걸쳐 사업을 완료하였다.",051-550-6604,동래구 문화시설사업소,2025-06-24,3300000,부산광역시 동래구
우장춘기념관,관광지,부산광역시 동래구 우장춘로62번길 7(온천동),부산광역시 동래구 온천동 850-48,35.213515,129.0720181,1241.0,화장실,,,,,,1999-10-21,100,2,씨 없는 수박으로 우리 모두에게 잘 알려진 세계적 육종학자인 故우장춘박사의 탄생 1백주년을 맞아 그의 생전 연구 활동 유적지,051-550-6602,동래구 문화시설사업소,2025-06-24,3300000,부산광역시 동래구
설악한화리조트,관광단지,강원특별자치도 속초시 미시령로 2983번길 111,강원특별자치도 속초시 장사동 24-1,38.21030036,128.5287214,1332578.0,주차장+배수지+변전소+도로,휴양콘도미니엄4,플라잉폭스+골프장,온천장+레이크가든,,,2010-10-08,10000,2000,"천연 온천수를 이용한 온천시설과 물놀이 시설을 갖춘 종합 테마파크이며, 설악 워터피아 등 다양한 부대시설은 완비하고 있다.",033-639-2544,강원특별자치도 속초시청,2025-06-25,4231000,강원특별자치도 속초시
척산온천,관광지,강원특별자치도 속초시 관광로 327,강원특별자치도 속초시 노학동 972-1,38.19020313,128.5407019,154743.0,도로+주차장,호텔+아쿠아훼미리호텔+온천호텔+채플+pool빌라,,설악예방의학센터+월드스파+푸드코드+키즈캠프+레스토랑/카페동,,,2009-05-20,1100,350,"1971년 설립된 온천장으로 지하 4,000km 심도에서 발생한 온천수를 이용하며 설악산과 근접한 위치에 자리잡고 있다.",033-639-2544,강원특별자치도 속초시청,2025-06-25,4231000,강원특별자치도 속초시
속초해수욕장,관광지,강원특별자치도 속초시 해오름로 186,강원특별자치도 속초시 조양동 1464-7,38.19014884,128.6035305,231748.3,관리사무소+샤워탈의장+공중화장실+도로+주차장,리조트단지(호텔/콘도),해수풀장,해양관+휴게소+전망대+테마거리+조경휴양공간+다목적잔디광장,,,1984-07-06,50000,550,"해안선 길이 약2km, 백사장 길이 약 500m이며 수심이 얕아 가족단위 관광객이 선호하는 속초시 대표 관광지이다.",033-639-2544,강원특별자치도 속초시청,2025-06-25,4231000,강원특별자치도 속초시
달맞이동산지구,관광지,부산광역시 해운대구 달맞이길 190,부산광역시 해운대구 중동 산 42-25,35.15768146,129.1825429,85.845,공중화장실 2동+관리사무소 1동+광장+도로+주차장,,,망월정 1동,,,1988-07-19,700000,76,"벚나무와 송림이 울창하게 들어찬 오솔길로 드라이브 코스로 유명하다. 달맞이 고개 일대에서는 다양한 예술작품을 만날 수 있고, 특히 보름날 달빛에 어우러진 바다 정취는 데이트 코스로 유명하다.",051-749-4081,부산광역시 해운대구청,2025-01-01,3330000,부산광역시 해운대구
해운대해수욕장,관광지,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,35.15910698,129.1602838,115.944,도로+광장+공중화장실 4동+주차장 1개소+관리사무소 1동+변전실 1동,,,해저  테마수족관,,,1988-07-19,800000,203,6월부터 9월까지 해수욕장을 개장하여 해수욕을 즐길 수 있다. 수심이 얕고 조수의 변화가 심하지 않아 해마다 천만 명이 넘는 피서색이 찾는다. 또한 매년 해수욕장 개장에 맞춰 다양한 행사와 축제가 개최된다,051-749-4081,부산광역시 해운대구청,2025-01-01,3330000,부산광역시 해운대구
한국이슬람부산성원,관광지,부산광역시 금정구 금단로 113-13,부산광역시 금정구 남산동 30-1,35.25998626,129.0922564,2022.0,화장실,,,,,,1980-09-30,100,100,"부산의 유일한 한국이슬람 부산성원은 이슬람 신자들에게는 네트워킹 장이자 쉼터로, 지역민들에게는 이슬람 문화를 체험하고 강연을 접할 수 있는 장소로 자리 잡고 있다.",051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
스포원파크,관광지,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,35.28912108,129.1070434,30000.0,주차장+화장실,,,,,,2014-01-01,100,100,스포원파크는 기존의 경기장과는 달리 ‘공원’과 ‘개방’의 개념을 도입한 ‘공원형 경기장’으로서 쾌적한 환경여건을 가지고 있어 건강과 휴식을 위한 명소로 사랑받고 있다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
서동미로시장,관광지,부산광역시 금정구 서동로141번길 16,부산광역시 금정구 서동 341-10,35.21586987,129.102466,20000.0,서동예술창작공간+쉼터+작은도서관+하늘정원,,,,,,2014-01-01,100,20,서동미로시장은 아름다운 길(美路)이라는 의미이자 골목마다 형성된 상권이 미로같다 하여 이름 붙은 문화관광형 시장이다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
회동수원지,관광지,부산광역시 금정구 오륜대로258,부산광역시 금정구 오륜동 353-2,35.24707332,129.115753,2017.0,정자+수변데크,,,,,,2010-01-01,100,20,"조선시대부터 아름다운 풍경으로 유명한 회동수원지는 금정구를 대표하는 도심 속 힐링 명소이다. 땅뫼산 황토숲길, 편백나무숲, 오륜대 전망대는 일상 속 휴식처가 되어 준다.",051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
범어사,관광지,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,3513.0,화장실+주차장+명상공간+체육시설,,,,,,1966-01-01,100,100,범어사는 역사적으로 많은 고승대덕을 길러내고 선승을 배출한 수행사찰로 오랜 전통과 많은 문화재가 보존되어 있는 한국 불교계의 중심지 중 하나이다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
서포리관광지,관광단지,인천광역시 옹진군 덕적면 덕적남로606번길 3,인천광역시 옹진군 덕적면 서포리 229-23,37.2232919,126.1169337,228769.0,관리사무소+오수처리장+샤워장+도로+주차장+화장실,펜션,,오토캠핑장,,,1977-03-31,100,20,"100년이 넘는 노송이 울창한 숲을 이루고 있고 완만한 경사와 넓이 300m 길이 3km의 넓은 백사장은 매년 10만 명이 넘는 관광객들의 휴식처가 되고 있는 곳이다. 200여 년은 족히 됐다는 소나무 8백여 본이 심어져 있는 소나무 숲은 단체야영에 제격이다. 거기에 넓은 운동장, 바닷가 놀이터, 테니스장, 음식점, 노래방, 자전거 대여소도 있으니 웬만한 레저시설은 다 준비되어 있는 셈이다. 주변의 갯바위에서는 우럭과 놀래미가 잘 잡혀 바다 낚시를 즐기는 관광객들의 발길이 끊이지 않고 있다.",032-899-2254,인천광역시 옹진군청,2025-07-03,3580000,인천광역시 옹진군
달음산자연휴양림,관광지,부산광역시 기장군 일광읍 화용길 299-106,부산광역시 기장군 용천리 산252,35.291977,129.213303,30000.0,화장실+주차장,관광숙박시설,산책로+운동시설,숲 체험공간,안내센터,,2013-01-24,150,50,"달음산 서쪽 자락에 위치하고 있으며, 부산시 최초의 국립 자연휴양림으로 산과 바다를 모두 즐길 수 있는 최적의 휴양림이다. 휴양림에서는 숙박은 물론, 숲 해설 프로그램과 목공예 체험 활동이 가능하다",051-722-3023,산림청,2025-06-17,3400000,부산광역시 기장군
박태준기념관,관광지,부산광역시 기장군 장안읍 임랑해안길 1,부산광역시 기장군 장안읍 임랑리 120-3,35.316877,129.261226,951.31,화장실 +주차장+도서관,,산책로,도서관+기념관 전시실,안내데스크,,2021-12-14,500,9,대한민국 근현대사에 큰 족적을 남긴 청암 박태준의 업적을 기리고 그의 철학과 사상을 엿볼수있다 2021년 대한민국 공간문화대상을 수상하며 지역의 아름다운 공간으로 인정받았으며 수준높은 문화 콘텐츠를 제공하는 문화예술의 장으로도 사랑받고 있다,051-709-4089,부산광역시 기장군청,2025-06-17,3400000,부산광역시 기장군
죽성드림세트장,관광지,,부산광역시 기장군 기장읍 죽성리 134-7,35.24113258,129.2479302,207.48,화장실(2동) +주차장,,산책로+포토존,관광홍보전시관,안내데스크,,2017-03-09,500,20,죽성리 바닷가에 세워진 드라마 세트장이다. 드림세트장은 유럽의 건축물을 옮겨놓은 듯한 이국적 분위기로 많은 여행객이 찾는다 세트장 근처에 고산윤선도 선생이 귀양살이를 하면서 가끔 찾아 시를 읊펴다는 황학대가 있으며 300년 이상된 죽성리 해송이 있다 죽성 드림세트장 에오면 죽성리 바다를 한눈에 조망할수있다,051-709-4081,부산광역시 기장군청,2025-06-17,3400000,부산광역시 기장군
장태산휴양림,관광지,대전광역시 서구 장안로 461,대전광역시 서구 장안동 259,36.21596913,127.3412778,815855.0,Y,N,Y,Y,N,Y,2019-01-01,2000,472,Y,042-270-7883,Y,2021-10-27,6300000,대전광역시
대청호반,관광지,대전광역시 대덕구 대청로 607,대전광역시 대덕구 미호동 57,36.47362538,127.4735679,72800.0,Y,N,Y,Y,N,Y,2019-01-01,3000,0,Y,042-930-7240,Y,2021-10-27,6300000,대전광역시
계족산황톳길,관광지,대전광역시 대덕구 장동로 59,대전광역시 대덕구 와동 2-1,36.40406651,127.4297932,54000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,25,Y,042-623-9909,Y,2021-10-27,6300000,대전광역시
한밭수목원,관광지,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.36646857,127.3880154,387000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,465,Y,042-270-8464,Y,2021-10-27,6300000,대전광역시
엑스포과학공원,관광지,대전광역시 유성구 대덕대로 480,대전광역시 유성구 도룡동 3-1,36.37662561,127.3871992,130000.0,Y,N,Y,Y,N,Y,2019-01-01,2000,200,Y,042-250-1111,Y,2021-10-27,6300000,대전광역시
뿌리공원,관광지,대전광역시 중구 뿌리공원로 79,대전광역시 중구 침산동 364,36.28537962,127.3883000376,125000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,447,Y,042-228-8310,Y,2021-10-27,6300000,대전광역시
오월드,관광지,대전광역시 중구 사정공원로 70,대전광역시 중구 사정동 142,36.28749807,127.3985061,783000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,1913,Y,042-580-4820,Y,2021-10-27,6300000,대전광역시
화원관광지,관광지,대구광역시 달성군 화원읍 사문진로1길40-14,대구광역시 달성군 화원읍 성산리 310,35.8127712325,128.4806365248,207720.0,관리사무소+화장실+주차장,,,관광유람선+동물원+체험관,,,2019-05-01,5000,146,도심 속 자연을 느끼고 낙동강변 경관을 감상할 수 있는 관광지,053-668-8294,대구광역시 달성군청,2025-06-23,3480000,대구광역시 달성군
비슬산관광지,관광지,대구광역시 달성군 유가읍 휴양림길 236,대구광역시 달성군 유가읍 용리 15,35.6933423054,128.5058006463,253587.0,관리사무소+화장실+주차장,,,산림휴양시설,,,2019-03-20,3000,598,비슬산 참꽃 군락지와 대견사 및 암괴류 등 자연과 함께 휴양 가능한 힐링공간 제공,053-668-8292,대구광역시 달성군청,2025-06-23,3480000,대구광역시 달성군
서창한옥문화관,관광지,광주광역시 서구 눌재로 420,광주광역시 서구 세하동 559-1,35.11523537,126.8300424,1054.2,화장실+주차장+전기시설+통신시설+상하수도 시설,,,,,,1999-10-02,26,14,"서창한옥문화관은 방문객들에게 전통문화의 우수성과 아름다움을 안내하는 역할을 하면서 동시에 우리나라의 전통가옥인 한옥에 대한 의미를 알리는 곳으로 연중 전통문화강좌, 민속놀이, 예절학당, 한옥스테이 등 다채로운 프로그램을 운영하고 있다. 인근의 관광지로는 서구8경 중 3경인 만귀정, 용두동지석묘, 들녘낙조가 있어 한옥의 운치와 볼거리를 더한다",062-373-1365,서창한옥문화관,2025-06-18,3600000,광주광역시 서구
해양자연사박물관,관광지,부산광역시 동래구 우장춘로 175 (온천동),부산광역시 동래구 온천동 산 13-1,35.2219498,129.075647,21538.0,안내소+화장실,,,,,,1994-06-10,1000,0,"1994년 6월 10일 동래구 온천동 금강공원 내에 개관한 부산해양자연사박물관은 전국 최초, 최대규모의 해양자연사분야의 전문박물관으로",051-593-4944,부산해양자연사박물관,2025-06-24,3300000,부산광역시 동래구
충렬사,관광지,부산광역시 동래구 충렬대로 345,부산광역시 동래구 안락동 421-33,35.199577,129.0959922,95804.0,안내소+화장실(1동)+주차장,,,,,,1972-06-26,10000,10,충렬사는 임진왜란 때 순절한 동래부사 송상현 공을 모시기 위해 1605년(선조 38년) 당시의 동래부사 윤훤(尹暄)이 동래읍성 남문 근처의 농주산에 송공의 위패를 모신 송공사(宋公祠)를 지어 매년 제사를 지낸 것이 그 시초이다. 그 후 1624년(인조 2년) 선위사(宣慰使) 이민구의 청으로 충렬사라는 사액(賜額)이 내려짐에 따라 송공사는 충렬사로 이름이 바뀌었다.,051-523-4223,충렬사관리사무소,2025-06-24,3300000,부산광역시 동래구
복천박물관,관광지,부산광역시 동래구 복천로 63(복천동),부산광역시 동래구 복천동 16-5,35.20877662,129.0911741,4000.0,안내데스크+화장실+주차장,,,,,,1996-07-26,1000,30,"삼한시대부터 삼국시대까지 부산의 역사를 보여주는 고고전문박물관으로서, 현재 7차에 걸친 발굴조사로 밝혀진 169기의 유구와 각종 토기 및 철기류 등의 유물을 종합 전시하고있다",051-550-0311,복천박물관,2025-06-24,3300000,부산광역시 동래구
허심청,관광지,부산광역시 동래구 온천장로107번길 32 (온천동),부산광역시 동래구 온천동 137,35.221157,129.0826889,4300.0,안내데스크+화장실+주차장,,,,,,1991-10-01,3000,200,허심청은 종래의 위락 시설과는 달리 편안하고 즐거운 온천욕과 휴식 및 체력단련을 통한 건강증진을 추구하는 새로운 유형의 도시형 온천건강랜드이다,051-550-2200,호텔농심,2025-06-24,3300000,부산광역시 동래구
동춘당,관광지,대전광역시 대덕구 동춘당로 80,대전광역시 대덕구 송촌동 192,36.36537889,127.4412933,4492.0,Y,N,Y,Y,N,Y,2019-01-01,100,30,Y,042-607-6575,N,2021-10-27,6300000,대전광역시
대전둘레산길,관광단지,대전광역시 중구 보문산공원로 440,대전광역시 중구 대사동 195-2,36.30879672,127.4231236,159000.0,Y,N,Y,Y,N,Y,2019-01-01,10000,0,Y,042-270-5583,N,2021-10-27,6300000,대전광역시
금정산,관광지,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304264,129.0676208,18845.0,케이블카+범어사 주차장,,,,,,1994-01-01,100,100,금정산은‘산마루에 우물이 있어 한 마리 금빛 나는 물고기가 오색구름을 타고 하늘에서 내려 와 우물 속에 놀았다’는 이야기에서 유래하여 이름 붙은 부산의 진산이다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
